id,picture,color1,color2,name,budget,investissement,fonctionnement,part,axes
1,avion,#40636b,#6a99a9,"Tourisme, actions européennes et internationales","214,0","111,7","102,3","5,1",Développement de l'attractivité du territoire::Mobilisation des crédits européens::Soutien aux professionnels du tourisme
2,gare,#aa5129,#dd6940,Transports et mobilités,"1492,5","729,0","763,5","35,6",Prolongement d'Eole::Plan anti-bouchons::Plan vélo
3,cinema,#245f7f,#5b90a3,Culture,"93,2","40,6","52,6","2,2",Faire entrer la culture dans les lycées::Soutien au cinéma et à l'audiovisuel::Création d'un festival de théâtre Avignon en Île-de-France
4,hopital,#507568,#6aa08d,"Social, santé, famille","219,1","20,0","199,1","5,2",Soutien aux territoires défavorisés et isolés::Lutte contre la désertification médicale::Aides en faveur des publics les plus fragiles
6,conseil-regional,#b27f5d,#d19b7d,Administration régionale,"83,5","21,5","62,0","2,0",Transparence de l'action publique régionale avec l'open data::Réduction des dépenses de l'administration
7,nouvel-amenagement,#a56434,#cc7236,Aménagement,"73,8","53,9","19,9","1,8",100 quartiers innovants::Plan anti-ghetto
8,universite,#a3522f,#cc6440,Enseignement supérieur et recherche,"107,9","81,2","26,7","2,6",Bibliothèque Condorcet::Aides au mérite::Création d'un portail régional d'orientation
9,rampe,#a3553c,#cf7857,"Sports, loisirs, jeunesse, vie associative, citoyenneté","70,4","47,4","23,0","1,7",Modernisation des équipements sportifs dans les lycées::Mobilisation pour la candidature Paris 2024::Renforcement de l'attractivité dans les îles de loisirs::Lutte contre les violences faites aux femmes::Plan d'action pour l'égalité entre les hommes et les femmes
10,securite,#32664c,#4a8467,Sécurité,"21,8","21,0","0,8","0,5",Sécurisation des lycées::Renforcement du bouclier sécurité en faveur des communes::Vidéosurveillance dans les gares routières et dans les transports
11,usine,#5e6e72,#748589,"Développement économique, innovation","182,8","138,4","44,4","4,4",Soutien aux entreprises innovantes::Déploiement du THD::Développement des Tiers-Lieux
12,lycee,#b57e47,#d18f59,Lycées,"773,9","504,5","269,4","18,5",Nouveau PPI::13 nouvelles opérations de rénovation/reconstruction::Lutte contre le décrochage scolaire
13,boulangerie,#ad4944,#e55f51,"Formation professionnelle, apprentissage, emploi","622,0","28,0","594,0","14,8",Objectif 100 000 apprentis::Contrats de performance dans les CFA::Accompagnement de 125 000 demandeurs d'emploi supplémentaires
14,immeuble,#cc5d1f,#ef6926,Logement et politique de la ville,"96,1","95,1","1,0","2,2",75 000 nouveaux logements par an::Favoriser la mixité sociale::Développement des services et des commerces de proximité
15,foret,#9b9e12,#bcbc1b,Environnement et énergie,"109,1","86,1","22,5","2,6",Lutte contre la pollution de l'air::Fonds propreté::Protection des espaces naturels
16,tracteur,#f75301,#f79c6f,Agriculture et ruralité,"33,7","23,5","10,2","0,8",Nouveaux contrats ruraux::Sauvegarde du commerce de proximité::Pacte agricole
