theme,label,url
Transports,Tram-train ,
Transports,Bus en sites propres,
Transports,Grand Paris Express,
Transports,Plan vélo régional,
Transports,Lutte contre le bruit ,
Transports,Fret,
"Formation professionnelle, apprentissage et emploi","Démarche ""Evolution vers une optimisation de l'apprentissage"" ",
"Formation professionnelle, apprentissage et emploi",Emplois-tremplins ,
"Formation professionnelle, apprentissage et emploi",Chantiers école,
Enseignement secondaire ,Internats de la réussite,
Enseignement secondaire ,Tarification unifiée de la restauration scolaire,
Enseignement secondaire ,Objectif basse énergie,
Développement social et santé,Revalorisation des bourses,
Développement social et santé,Grande cause régionale 2014 : l'alimentation ,
Développement social et santé,Maisons de naissance ,
Développement social et santé,Nouvelle convention avec les Maisons départementales des personnes en situation de handicap,
Développement social et santé,Agenda 22,
"Développement économique, innovation, tourisme",Déploiement de la fibre optique ,
"Développement économique, innovation, tourisme",Coworking ,
"Développement économique, innovation, tourisme",Silver economy (économie du vieillissement) ,
"Développement économique, innovation, tourisme",Points d'Accueil à la Création d'entreprises ,
"Développement économique, innovation, tourisme",PM'up ,
"Développement économique, innovation, tourisme",Tourisme,
"Développement économique, innovation, tourisme",Dispositif Rebonds,
Logement,Partenariat avec la Fondation Abbé Pierre ,
Logement,Récupération de la chaleur des serveurs informatiques ,
Logement,Dispositif Solizen,
Aménagement,Ile-de-France 2030,
Environnement,Rénovation énergétique des logements ,
Environnement,Plan pour la méthanisation ,
Environnement,4 nouvelles Réserves naturelles ,
Environnement,Valorisation des déchets du BTP notamment liés au chantier du Grand Paris Express,
Enseignement supérieur et recherche,Domaines d'Intérêt Majeur,
Enseignement supérieur et recherche,Bourses pour les personnes détenues souhaitant étudier ,
Enseignement supérieur et recherche,"Questions de Sciences, Enjeux citoyens",
Culture,50% des intermittents du spectacle en île-de-France ,
Culture,"Musée passager, musée itinérant pour favoriser l'accès de la culture pour tous",
Politique de la ville et renouvellement urbain,,
Administration régionale,70 emplois d'avenir embauchés en 2014,
Sports et loisirs ,Formation des professionnels du sport ,
Sports et loisirs ,Conférence régional du sport ,
Sports et loisirs ,Dispositifs d'accès aux loisirs,
Sécurité,Jeunes Violences Ecoute,
Sécurité, Observatoire régional des violences faites aux femmes,
Actions internationales et européennes,Aramis pour micro-projets de solidarité internationale ,
Actions internationales et européennes,Programme Méditerranée,
